ID,Deposit_Date,Special_Pay,Price,Refund_Option,Refund_Option_Cancelled,Refund_Percentage,Automatic_Pay_Rate,Revenue
1111-40483,11/01/10,SA,1889,0,0,0,0,1799
1593-40483,11/01/10,NA,1644,0,2,0,0,1644
1656-40483,11/01/10,SA,699,0,0,0,0,699
1690-40483,11/01/10,SA,1276,0,0,0,0,1343
2129-40483,11/01/10,SA,908,0,0,0,0,865
2234-40483,11/01/10,SA,1709,0,0,0,0,1799
2416-40483,11/01/10,NA,1726,0,2,0,0,1644
2552-40483,11/01/10,SA,869,0,0,0,0,869
2595-40483,11/01/10,SA,1410,0,0,0,0,1343
2826-40483,11/01/10,SA,908,0,0,0,0,865
3102-40483,11/01/10,SA,734,0,0,0,0,699
3108-40483,11/01/10,SA,912,0,0,0,0,869
3289-40483,11/01/10,SA,1881,0,0,0,0.083,1980
215-40485,11/03/10,NA,1679,0,0,0,0.278,1599
2166-40485,11/03/10,NA,1599,0,0,0,0.278,1599
1314-40487,11/05/10,SA,613,0,0,0,0,613
1649-40487,11/05/10,SA,355,0,0,0,0,374
2167-40487,11/05/10,SA,355,0,0,0,0,374
2761-40487,11/05/10,SA,582,0,0,0,0,613
1843-40492,11/10/10,NA,1544,0,1,0,0,1470
2871-40492,11/10/10,NA,1396,0,1,0,0,1470
122-40497,11/15/10,SA,1224,0,0,0,0,1224
355-40497,11/15/10,SA,702,0,0,0,0,669
421-40497,11/15/10,SA,626,0,0,0,0,596
670-40497,11/15/10,NA,3989,0,0,0,0.5,3799
1093-40497,11/15/10,SA,181,0,0,0,0,172
1521-40497,11/15/10,SA,596,0,0,0,0,596
1647-40497,11/15/10,NA,2634,0,2,0,0.5,2509
1867-40497,11/15/10,NA,1803,0,4,0,0.2,1898
2269-40497,11/15/10,SA,413,0,0,0,0,393
2512-40497,11/15/10,NA,2634,0,2,0,0.5,2509
2620-40497,11/15/10,NA,3799,0,0,0,0.5,3799
3238-40497,11/15/10,SA,669,0,0,0,0,669
3583-40497,11/15/10,SA,413,0,0,0,0,393
3746-40497,11/15/10,SA,753,0,0,0,0,717
3868-40497,11/15/10,NA,1840,0,1,0,0,1752
3989-40497,11/15/10,NA,1752,0,1,0,0,1752
4155-40497,11/15/10,SA,163,0,0,0,0,172
2175-40498,11/16/10,SA,529,0,0,0,0,557
2430-40498,11/16/10,SA,585,0,0,0,0,557
550-40501,11/19/10,SA,1269,0,0,0,0,1269
638-40501,11/19/10,NA,3690,0,0,0,0.4,3884
701-40501,11/19/10,NA,2163,0,3,0,0.154,2060
1105-40501,11/19/10,SA,2678,0,0,0,0,2819
2357-40501,11/19/10,NA,1957,0,3,0,0.154,2060
2406-40501,11/19/10,SA,1332,0,0,0,0,1269
2741-40501,11/19/10,SA,2678,0,0,0,0,2819
2971-40501,11/19/10,SA,704,0,0,0,0,670
3854-40501,11/19/10,NA,3690,0,0,0,0.4,3884
826-40507,11/25/10,SA,1798,0,0,0,0,1798
1768-40507,11/25/10,SA,1888,0,0,0,0,1798
2140-40512,11/30/10,NA,568,0,1,0,0.286,598
3772-40512,11/30/10,NA,568,0,1,0,0.286,598
1094-40513,12/01/10,SA,189,0,0,0,0,199
3556-40513,12/01/10,SA,189,0,0,0,0,199
140-40514,12/02/10,SA,394,0,0,0,0,375
2874-40514,12/02/10,SA,356,0,0,0,0,375
53-40522,12/10/10,SA,1857,0,0,0,0,1857
842-40522,12/10/10,SA,1764,0,0,0,0,1857
1302-40522,12/10/10,SA,298,0,0,0,0,298
3239-40522,12/10/10,SA,313,0,0,0,0,298
2649-40525,12/13/10,SA,1999,0,0,0,0,1999
